Country Name,Indicator Name,2015,2016,2017
Tanzania,"Taxes on income, profits and capital gains (% of revenue)",27.1869671570257,32.5030969129512,27.5165439690448
Thailand,"Taxes on income, profits and capital gains (% of revenue)",31.8934266851226,30.9011049982897,30.0680107171555
Timor-Leste,"Taxes on income, profits and capital gains (% of revenue)",28.8990859258925,17.0145109549839,23.8721987259929
Togo,"Taxes on income, profits and capital gains (% of revenue)",17.4272902674692,12.5769125566382,14.121635997498801
Tonga,"Taxes on income, profits and capital gains (% of revenue)",12.6881731430069,9.83856406126355,10.852289772204099
Trinidad and Tobago,"Taxes on income, profits and capital gains (% of revenue)",36.643261328167604,,
Tunisia,"Taxes on income, profits and capital gains (% of revenue)",,,
Turkey,"Taxes on income, profits and capital gains (% of revenue)",16.7954013241715,17.226926801858898,18.062541363121102
Turkmenistan,"Taxes on income, profits and capital gains (% of revenue)",,,
Turks and Caicos Islands,"Taxes on income, profits and capital gains (% of revenue)",,,
Tuvalu,"Taxes on income, profits and capital gains (% of revenue)",,,
Uganda,"Taxes on income, profits and capital gains (% of revenue)",29.6952196490838,30.0366135802879,30.2075058605104
Ukraine,"Taxes on income, profits and capital gains (% of revenue)",11.1490698972473,15.1664770988781,14.503486162940199
United Arab Emirates,"Taxes on income, profits and capital gains (% of revenue)",,,
United Kingdom,"Taxes on income, profits and capital gains (% of revenue)",33.136952460921606,33.6279530572573,33.689564927579
United States,"Taxes on income, profits and capital gains (% of revenue)",54.0990680013807,54.095134888496,50.0494379683597
Uruguay,"Taxes on income, profits and capital gains (% of revenue)",18.722360464953603,30.993008518761002,22.327048230857603
Uzbekistan,"Taxes on income, profits and capital gains (% of revenue)",18.6295079769257,19.9029398751907,23.268849332048504
Vanuatu,"Taxes on income, profits and capital gains (% of revenue)",,,
"Venezuela, RB","Taxes on income, profits and capital gains (% of revenue)",,,
Vietnam,"Taxes on income, profits and capital gains (% of revenue)",,,
Virgin Islands (U.S.),"Taxes on income, profits and capital gains (% of revenue)",,,
West Bank and Gaza,"Taxes on income, profits and capital gains (% of revenue)",3.2542899978616897,2.8567329075564802,4.55488169296523
"Yemen, Rep.","Taxes on income, profits and capital gains (% of revenue)",,,
Zambia,"Taxes on income, profits and capital gains (% of revenue)",33.589804130946,34.0206529035352,33.0664167938843
Zimbabwe,"Taxes on income, profits and capital gains (% of revenue)",33.5400741422373,32.9113909032695,33.8057261154038
